,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,baro_pressure,baro_temperature,gps_lat,gps_lon,gps_alt,gps_vel_n_m_s,gps_vel_e_m_s,gps_vel_d_m_s,mag_x,mag_y,mag_z,nav_cmd
180,-0.07190535,-0.0063915867,-0.10865697,-0.22744916,-0.090979666,-9.363723,950.28296,11.507233,473987328,85494888,538051,-14.03,-2.76,-0.47,-0.19746143,-0.059032217,0.4317604,
181,0.029827405,0.02130529,-0.120907515,-0.45489833,0.1388637,-9.907207,950.2995,11.506836,473985794,85494637,538254,-14.4,-0.32,0.04,-0.1941818,-0.10112168,0.42166406,
182,0.07882957,0.017044231,-0.08948222,-0.44532153,0.15322891,-9.900024,950.2995,11.506836,473984747,85494688,538216,-14.41,1.1899999,0.01,-0.1999087,-0.10131008,0.4286858,
183,0.07084008,0.0015978967,-0.05539375,-0.47165772,0.12449849,-9.679757,950.3003,11.506592,473983198,85495005,538245,-14.23,2.59,-0.089999996,-0.20286399,-0.07962799,0.43153176,
184,0.041545313,-0.011717909,-0.015978966,-0.46686932,0.011971008,-9.61272,950.2752,11.506195,473982171,85495307,538315,-14.12,3.0,-0.049999997,-0.18881199,-0.06783229,0.4349575,
185,0.015446335,-0.0053263223,-0.00479369,-0.4381389,0.02633622,-9.646238,950.2752,11.506195,473980652,85495799,538349,-14.07,3.1299999,0.03,-0.18961091,-0.055197652,0.4339834,
186,0.0026631611,0.009054748,0.007456851,-0.5746084,0.10055647,-9.674969,950.2706,11.506256,473979631,85496131,538333,-14.07,3.06,0.0,-0.18772198,-0.04427444,0.44593754,
187,-0.0037284256,0.0015978967,0.008522116,-0.61291564,0.007182605,-9.667787,950.30334,11.506348,473978109,85496613,538327,-14.11,2.96,0.0,-0.18786354,-0.04905675,0.43770224,
188,-0.0015978967,-0.0053263223,0.008522116,-0.4357447,0.045489833,-9.591172,950.30334,11.506348,473977083,85496929,538296,-14.139999,2.9299998,-0.03,-0.18561722,-0.05125927,0.4410547,
189,0.002130529,-0.0005326322,-0.0026631611,-0.56982,0.035913024,-9.7563715,950.2896,11.506805,473975555,85497397,538262,-14.2,2.95,0.02,-0.19176146,-0.04561423,0.44380978,
190,0.0026631611,-0.0010652645,-0.002130529,-0.5243302,0.095768064,-9.533711,950.3109,11.5069275,473974525,85497714,538240,-14.17,2.95,0.01,-0.18527906,-0.048508424,0.43987966,
191,0.0015978967,0.0031957934,0.002130529,-0.48362875,-0.011971008,-9.770737,950.3109,11.5069275,473972996,85498186,538218,-14.179999,2.99,0.0,-0.18817881,-0.053721815,0.4364561,
192,-0.0005326322,0.0010652645,0.0015978967,-0.46686932,-0.031124622,-9.67018,950.33264,11.506989,473971968,85498509,538220,-14.16,3.0,0.0,-0.18661402,-0.05846596,0.4432041,
193,-0.0015978967,-0.0037284256,0.007456851,-0.5602432,-0.007182605,-9.588778,950.29974,11.50705,473970439,85498989,538206,-14.15,3.04,0.0,-0.18782227,-0.055707354,0.4397465,
194,0.00479369,0.0053263223,0.0053263223,-0.59855044,-0.059855044,-9.703699,950.29974,11.50705,473969411,85499314,538193,-14.21,3.04,0.03,-0.18444507,-0.057275485,0.43991196,
195,-0.002130529,0.011185277,-0.006924219,-0.5291186,-0.055066638,-9.720459,950.2974,11.5069275,473967880,85499795,538238,-14.15,3.02,-0.03,-0.18044715,-0.053247076,0.43381637,
196,-0.8202536,0.041545313,-0.27324033,-1.292869,-1.0175357,-10.955867,950.3122,11.506683,473966854,85500115,538243,-14.12,3.02,0.0,-0.16736063,-0.22003281,0.3952816,16.0
197,-0.2082592,0.4245079,-0.35260254,-0.47644615,-0.48123455,-13.10586,950.3122,11.506683,473965452,85500951,538290,-11.03,8.79,0.24,-0.11279895,-0.42273208,0.21462107,
198,0.007456851,0.48043427,-0.40533313,-0.56982,0.076614454,-13.855246,950.3633,11.510376,473964850,85502172,537929,-5.06,13.5199995,0.57,0.008837751,-0.46009144,0.14576408,
199,0.21837921,0.330232,-0.3174488,-0.62488663,0.40222588,-12.677298,950.42554,11.51416,473964922,85504456,537198,5.96,13.67,0.48999998,0.109354414,-0.41378096,0.21331318,
200,0.33609092,0.08681905,-0.20293288,-0.58897364,0.6991069,-10.848128,950.4152,11.514374,473965538,85505768,537004,10.41,10.76,-0.049999997,0.15508007,-0.3001782,0.34044346,
201,0.21891184,-0.019707393,-0.07829694,-0.45010993,0.4309563,-9.634268,950.3544,11.510681,473966788,85507226,537530,12.09,8.09,-0.62,0.17575333,-0.1612115,0.42443034,
202,0.07403588,-0.022903185,0.030360037,-0.33997664,0.062249243,-9.267955,950.3195,11.507355,473967663,85508079,538003,11.95,7.95,-0.48,0.19156466,-0.08878132,0.42941988,
203,0.0026631611,0.0015978967,0.05752428,-0.4381389,0.019153614,-9.593566,950.3195,11.507355,473968924,85509403,538279,11.38,8.73,-0.08,0.19349557,-0.08100006,0.43329155,
204,-0.025566347,0.0031957934,0.049002163,-0.4405331,0.0023942017,-9.651027,950.29865,11.5065,473969735,85510377,538282,10.95,9.38,0.0,0.19250423,-0.092966065,0.4302797,
205,-0.025566347,0.0,0.026631612,-0.5363012,-0.10055647,-9.672575,950.3028,11.506531,473970890,85511923,538276,10.5,9.94,0.02,0.18633471,-0.12506968,0.42784095,
206,-0.015446335,0.0031957934,0.0127831735,-0.59615624,-0.009576807,-9.775525,950.28906,11.506531,473971644,85512997,538293,10.349999,10.099999,0.03,0.18542013,-0.1438889,0.42707425,
207,-0.004261058,-0.007989483,0.0063915867,-0.47405192,-0.0047884034,-9.49301,950.2958,11.5065,473972753,85514614,538293,10.25,10.15,-0.01,0.17706822,-0.15090749,0.41811112,
208,0.14966966,0.008522116,0.049534798,-0.49559975,0.33997664,-9.916783,950.30255,11.506622,473973496,85515704,538269,10.2,10.23,0.03,0.17256242,-0.11924679,0.43623605,16.0
209,0.07084008,0.013848438,0.101200126,-0.49320555,0.016759412,-9.787497,950.2917,11.506348,473974541,85517407,538305,8.98,11.28,-0.03,0.1567442,-0.08898279,0.45221114,
210,-0.019707393,0.033023197,0.12197278,-0.44771573,-0.055066638,-9.919178,950.2884,11.506256,473975143,85518672,538325,7.6,12.2699995,-0.01,0.1350105,-0.088460095,0.4559331,
211,-0.061252706,0.017576864,0.113983296,-0.50517654,-0.17717093,-9.80665,950.28687,11.506256,473975845,85520725,538329,5.5099998,13.36,-0.02,0.1162958,-0.12503141,0.45832896,
212,-0.058589544,-0.0005326322,0.068176925,-0.5386954,-0.20829555,-9.677363,950.28687,11.506256,473976203,85522179,538332,4.43,13.73,-0.03,0.08502632,-0.16071907,0.44446304,
213,-0.03888215,0.0026631611,0.03568636,-0.48602295,-0.12928689,-9.639056,950.30554,11.506073,473976628,85524391,538357,3.57,13.99,0.0,0.08179101,-0.18755493,0.43598753,
214,-0.020240024,0.00958738,0.0127831735,-0.49799395,0.0023942017,-9.660604,950.283,11.5060425,473976877,85525894,538350,3.36,14.09,0.02,0.065566085,-0.20399763,0.43119285,
215,-0.009054748,-0.004261058,0.00479369,-0.47884035,-0.009576807,-9.55047,950.2916,11.505798,473977234,85528139,538391,3.27,14.09,-0.049999997,0.07355157,-0.20767333,0.4203247,
216,-0.0010652645,-0.0015978967,0.002130529,-0.34476504,-0.021547815,-9.593566,950.27496,11.505646,473977472,85529646,538416,3.27,14.04,-0.01,0.084405005,-0.21027638,0.42756683,
217,0.008522116,0.0037284256,-0.0058589545,-0.521936,-0.062249243,-9.639056,950.2967,11.505737,473977834,85531888,538406,3.37,14.07,-0.02,0.074504524,-0.20988487,0.42098042,
218,0.0037284256,-0.007456851,0.0063915867,-0.46926352,0.007182605,-9.562442,950.2882,11.505676,473978078,85533396,538410,3.37,14.049999,-0.02,0.07976398,-0.20581664,0.42434442,
219,-0.0015978967,-0.0015978967,0.0037284256,-0.50517654,-0.10295067,-9.576807,950.26996,11.505798,473978441,85535636,538409,3.35,14.07,0.06,0.07758309,-0.20703144,0.42785227,
